type,name,label,hint,required,relevant,constraint_message,constraint,appearance,calculation
start,start,,,,,,,,
end,end,,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,,
select_one fold_geometry_YZp6QecM4sc_,feature_type,Fold Type,,false,,,,,
text,other_dominant_fold_geometry,Other Fold Type,,false,${feature_type} = 'other',,,,
begin_group,group_xf0sv21,Hinge Orientation,,,,,,,
integer,Trend,Trend,,false,,,,,
integer,Plunge,Plunge,,false,,,,,
select_one rg23y65,Linearity,Linearity,,false,,,,,
select_one xe6xm89,Measurement_Quality,Measurement Quality,,false,,,,,
end_group,,,,,,,,,
begin_group,group_kx3ya56,Axial Surface Orientation,,,,,,,
integer,Strike,Strike,,false,,,,,
integer,Azimuthal_Dip_Direction,Azimuthal Dip Direction,,false,,,,,
integer,Dip,Dip,,false,,,,,
select_one ne4bk50,Planarity,Planarity,,false,,,,,
select_one ih6gv30,Measurement_Quality_001,Measurement Quality,,false,,,,,
end_group,,,,,,,,,
select_one fold_attitude_JRxvawYUuD4_,fold_attitude,Dominant Fold Attitude,,false,,,,,
select_one fold_shape_zAkwyn9tNVk_,fold_shape,Dominant Fold Shape (Dip Isogon),,false,,,,,
select_one tightness_1u_TZ7ZL3Tg_,tightness,Tightness / Interlimb Angle,,false,,,,,
select_one ud9hu83,Hinge_Shape,Hinge Shape,,false,,,,,
select_one vergence_n4QvBpOQFvw_,vergence,Vergence,Top to the:,false,,,,,
begin_group,group_fold_foliation,Foliation Associated with Fold,,,,,,,
integer,fold_fol_strike,Strike,,false,,Value must be a whole number between 0-360.,. >= 0 and . <= 360,,
integer,fold_fol_dip_direction,Dip Direction,,false,,Value must be a whole number between 0-360.,. >= 0 and . <= 360,,
integer,fold_fol_dip,Dip,,false,,Value must be a whole number between 0-90.,. >= 0 and . <= 90,,
select_one fold_fol_quality_5Cye72eaqyA_,fold_fol_quality,Orientation Quality,,false,,,,,
select_one fold_foliation_Type_VKGfG3jCKt8_,fold_foliation_Type,Foliation Type,,false,,,,,
text,fold_foliation_description,Description of Foliation,,false,,,,,
end_group,,,,,,,,,
decimal,wavelength_m,Wavelength (m),,false,,Value must be greater than 0.,. > 0,,
text,competent_material_fold,Competent Material,,false,,,,,
decimal,folded_layer_thickness_m,Folded Layer Thickness (m),,false,,Value must be greater than 0.,. > 0,,
text,incompetent_material_fold,Incompetent Material,,false,,,,,
text,fold_notes,Fold Notes,,false,,,,multiline,
calculate,__version__,,,,,,,,'vX3tdsZ5cxRVfMko9csvTU'
