type,name,label,hint,required,relevant,constraint_message,constraint,calculation
start,start,,,,,,,
end,end,,,,,,,
text,label,Label,If a label is not specified a default label will be given.,false,,,,
text,sample_id_name,Sample Specific ID/Name,,false,,,,
text,sample_description,Sample Description,,false,,,,
select_one pl6vo60,type_of_initial_material,Type of Initial Material,,false,,,,
select_one eg0ei06,type_of_sample,Type of Sample,,false,,,,
select_one vr54h31,rock_type,Rock Type,,false,,,,
text,if_other_please_describe,"If Other, please Describe",,false,${rock_type} = 'other',,,
select_one jf9td77,method_of_acquisition_of_initi,Method of Acquisition of Initial Material,,false,,,,
text,spot_number_of_original_sample,Spot Number of Original Sample ,,false,${method_of_acquisition_of_initi} = 'spot_number_of',,,
text,known_location,Known Location,,false,${method_of_acquisition_of_initi} = 'known_location',,,
text,catalog_sample,Catalog Sample,,false,${method_of_acquisition_of_initi} = 'catalog_sample',,,
text,if_other_describe,"If Other, Describe",,false,${method_of_acquisition_of_initi} = 'other',,,
begin_group,group_jj9zy21,Synthetic Sample,,,,,,
select_multiple hw2wh20,synthetic_sample,Synthetic Sample,,false,${type_of_initial_material} = 'synthetic',,,
select_one nc1rg13,dissagregated,Dissagregated,,false,"selected(${synthetic_sample}, 'disaggregated') or selected(${synthetic_sample}, 'composite')",,,
integer,pressure_of_hot_pressed,Pressure of Hot Pressed,,false,${dissagregated} = 'hot_pressed',,,
select_one us88k07,unit_of_pressure,Unit of Pressure,,false,${dissagregated} = 'hot_pressed',,,
integer,temperature_of_hot_pressed,Temperature of Hot Pressed,,false,${dissagregated} = 'hot_pressed',,,
select_one mq5pa38,unit_of_temperature,Unit of Temperature,,false,${dissagregated} = 'hot_pressed',,,
end_group,,,,,,,,
text,grain_size,Grain Size,,false,,,,
integer,water_content,Water Content,,false,,,,
integer,porosity,Porosity %,,false,,,,
text,bulk_composition,Bulk Composition,,false,,,,
text,trace_element_chemistry,Trace Element Chemistry,,false,,,,
text,fabric_microstructures_texture,Fabric/Microstructures/Textures,,false,,,,
text,other_initial_sample_notes,Other Initial Sample Notes,,false,,,,
select_one yc8eo85,initial_sample_geometry,Initial Sample Geometry,,false,,,,
note,cube_block_dimensions,Cube/Block Dimensions,,false,${initial_sample_geometry} = 'cube_block',,,
decimal,length,Length,,false,${initial_sample_geometry} = 'cube_block',,,
decimal,width,Width,,false,${initial_sample_geometry} = 'cube_block',,,
decimal,height,Height,,false,${initial_sample_geometry} = 'cube_block',,,
select_one aj5wk43,units,Units,,false,${initial_sample_geometry} = 'cube_block',,,
decimal,core_length,Core Length,,false,${initial_sample_geometry} = 'core',,,
decimal,core_diameter,Core Diameter,,false,${initial_sample_geometry} = 'core',,,
select_one ql5da18,core_units,Core Units,,false,${initial_sample_geometry} = 'core',,,
select_multiple cl11j06,other_sample_features,Other Sample Features,,false,,,,
integer,sawcut_angle,Sawcut Angle,,false,"selected(${other_sample_features}, 'sawcut')",Enter Valid Sawcut Angle,. > 0 and . < 90,
text,gauge_type,Gauge Type,,false,"selected(${other_sample_features}, 'gauge')",,,
decimal,gauge_size_um,Gauge Size (um),,false,"selected(${other_sample_features}, 'gauge')",,,
decimal,gauge_mass_g,Gauge Mass (g),,false,"selected(${other_sample_features}, 'gauge')",,,
decimal,gauge_thickness_mm,Gauge Thickness (mm),,false,"selected(${other_sample_features}, 'gauge')",,,
text,other_geometry_description,Other Geometry Description,,false,${initial_sample_geometry} = 'other',,,
calculate,__version__,,,,,,,'vkdQWoMsizfDk4FiDEvLqQ'
