name,type,label,required,relevant,appearance,default,hint,constraint
trace_line_feature,acknowledge,Trace/Line Feature,false,,,,,
trace_type,select_one pl5yo85,Trace Type,true,${trace_line_feature} != '',,,,
contact_type,select_one lx9ax28,Contact Type,false,${trace_type} = 'contact',horizontal,,,
other_contact_type,text,Other Contact Type,true,${contact_type} = 'unknown',,,,
depositional_contact_type,select_one bi4sw60,Depositional Contact Type,false,${contact_type} = 'depositional',horizontal,,,
other_depositional_type,text,Other Depositional Contact,true,${depositional_contact_type} = 'other',,,,
intrusive_contact_type,select_one cj4zw02,Intrusive Contact Type,false,${contact_type} = 'intrusive',horizontal,,,
other_intrusive_contact,text,Other Intrusive Contact,true,${intrusive_contact_type} = 'unknown',,,,
metamorphic_contact_type,select_one pb5wo52,Metamorphic Contact Type,false,${contact_type} = 'metamorphic',horizontal-compact,,,
other_metamorphic_contact,integer,Other Metamorphic Contact,true,${metamorphic_contact_type} = 'other',,,,
marker_layer_details,note,Marker Layer Details,false,${contact_type} = 'marker_layer',,No details specified.,,
geologic_structure_type,select_one iz4fr14,Geologic Structure Type,true,${trace_type} = 'geologic_struc',,,,
shear_sense,select_one os1df47,Shear Sense,false,${geologic_structure_type} = 'fault' or ${geologic_structure_type} = 'shear_zone' or ${geologic_structure_type} = 'deformation_zo',horizontal-compact,not_specified,,
other_shear_sense,text,Other Shear Sense,true,${shear_sense} = 'other',,,,
other_structural_zones,select_one hz6ha86,Other Structural Zones,true,${geologic_structure_type} = 'other_structur',,,,
other_other_structural_zone,text,Other Other Structural Zone,true,${other_structural_zones} = 'other',,,,
fold_type,select_one wg6ry31,Fold Type,false,${geologic_structure_type} = 'fold_axial_tra',horizontal,,What is the shape of the fold when looking down-plunge?,
other_fold_type,text,Other Fold Type,true,${fold_type} = 'unknown',,,,
fold_attitude,select_one iq4bx64,Fold Attitude,false,${geologic_structure_type} = 'fold_axial_tra',horizontal,,,
other_fold_attitude,text,Other Fold Attitude,true,${fold_attitude} = 'other',,,,
geomorphic_feature,select_one er5hu03,Geomorphic Feature,true,${trace_type} = 'geomorphic_fea',,,,
other_geomorphic_feature,text,Other Geomorphic Feature,true,${geomorphic_feature} = 'other',,,,
antropogenic_feature,select_one gw8je20,Antropogenic Feature,true,${trace_type} = 'anthropenic_fe',,,,
other_anthropogenic_feature,text,Other Anthropogenic Feature,true,${antropogenic_feature} = 'other',,,,
other_feature,select_one lh87q41,Other Feature,true,${trace_type} = 'other_features',,,,
other_other_feature,text,Other Other Features,true,${other_feature} = 'other',,,,
trace_quality,select_one wb5nf41,Trace Quality,false,${contact_type} = 'depositional' or ${contact_type} = 'intrusive' or ${contact_type} = 'metamorphic' or ${contact_type} = 'unknown',horizontal,,,
other_trace_quality,text,Other Trace Quality,true,${trace_quality} = 'other',,,,
trace_character,select_one rd1pp06,Trace Character,false,${contact_type} = 'depositional' or ${contact_type} = 'intrusive' or ${contact_type} = 'metamorphic',horizontal,,,
other_trace_character,text,Other Trace Character,true,${trace_character} = 'other',,,,
trace_notes,note,Trace Notes,false,${trace_line_feature} != '',,,,. != ''
start,start,,,,,,,
end,end,,,,,,,
